Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/batyagamer,https://www.tiktok.com/batyagamer/video/6938266022235442437,Ратата,Konfuz,/track?id=32684745,https://www.tiktok.com/music/Ратата-6916879241569127169,20.2M,0,621.5K,6.6K,1,"Mar 11, 2021",,27,QM4TW2128488
2,New,https://www.tiktok.com/vet_techs_pj,https://www.tiktok.com/vet_techs_pj/video/6938049576444202246,Sail,Kreepa,/track?id=28786356,https://www.tiktok.com/music/Sail-6793118730252486658,17.6M,0,704.4K,11.1K,2,"Mar 11, 2021",,65,USUYG1297107
3,6,https://www.tiktok.com/theroligore,https://www.tiktok.com/theroligore/video/6937696135154797830,Teletubbies,The Goggle Box Band,/track?id=12668877,https://www.tiktok.com/music/Teletubbies-5000000000277774749,30M,0,4.9M,239.4K,3,"Mar 11, 2021",,36,GBCQU0601425
4,-3,https://www.tiktok.com/connection_intercepted,https://www.tiktok.com/connection_intercepted/video/6937773843717295365,Drive Forever - Remix,"Sergio Valentino, xakavir",/track?id=32204028,https://www.tiktok.com/music/Drive-Forever-Remix-6896143888814213122,32.8M,0,2.9M,35.8K,1,"Mar 10, 2021",,11,SE6SA2085128
5,10,https://www.tiktok.com/danielpaulstrader,https://www.tiktok.com/danielpaulstrader/video/6937876983699328261,Up,Cardi B,/track?id=32746863,https://www.tiktok.com/music/Up-6925658290315593729,16.4M,0,1.6M,3.6K,5,"Mar 11, 2021",,29,USAT22100061
6,New,https://www.tiktok.com/wren.eleanor,https://www.tiktok.com/wren.eleanor/video/6938062186363325702,Up Beat (Married Life),Kenyi,/track?id=30072683,https://www.tiktok.com/music/Up-Beat-Married-Life-6831843160709138433,10.7M,0,2.2M,25.7K,6,"Mar 11, 2021",,47,QZHN42046331
7,New,https://www.tiktok.com/two_chihuahuas89,https://www.tiktok.com/two_chihuahuas89/video/6938186817254575365,Drive Forever - Remix,"Sergio Valentino, xakavir",/track?id=32204028,https://www.tiktok.com/music/Drive-Forever-Remix-6896143888814213122,9.4M,0,1.9M,19.3K,7,"Mar 11, 2021",,14,SE6SA2085128
8,New,https://www.tiktok.com/rafaelmedioni,https://www.tiktok.com/rafaelmedioni/video/6938054489966447877,bad guy (with Justin Bieber),"Billie Eilish, Justin Bieber",/track?id=24417830,https://www.tiktok.com/music/bad-guy-5000000001450695739,14.4M,0,968K,9.1K,8,"Mar 11, 2021",,52,USUM71912813
9,New,https://www.tiktok.com/iamjoaskills,https://www.tiktok.com/iamjoaskills/video/6938006285761678598,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,11.9M,0,661.7K,871,9,"Mar 11, 2021",,9,TCAFB2092742
10,-2,https://www.tiktok.com/thenickluciano,https://www.tiktok.com/thenickluciano/video/6932635718615338246,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,179.1M,0,36.8M,547K,1,"Feb 25, 2021",,209,TCAFB2092742
11,New,https://www.tiktok.com/justmaiko,https://www.tiktok.com/justmaiko/video/6938136827794574598,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,9.5M,0,2.1M,28.7K,11,"Mar 11, 2021",,8,TCAFB2092742
12,-8,https://www.tiktok.com/riley.lh,https://www.tiktok.com/riley.lh/video/6937722565255302406,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,31M,0,6.9M,44.6K,4,"Mar 10, 2021",,43,TCAFB2092742
13,New,https://www.tiktok.com/whathowhy,https://www.tiktok.com/whathowhy/video/6937691319129083141,Cheryl,Yung Gravy,/track?id=14420681,https://www.tiktok.com/music/Cheryl-6620090384692873990,21.9M,0,3.2M,31K,13,"Mar 11, 2021",,33,TCADD1708703
14,New,https://www.tiktok.com/myletterings.pe,https://www.tiktok.com/myletterings.pe/video/6938128307141594373,Spongebob,Dante9k,/track?id=32023663,https://www.tiktok.com/music/Spongebob-Tomfoolery-Dante9k-Remix-6787142837377959937,7.3M,0,1.5M,6.8K,14,"Mar 11, 2021",,3,QZFYZ2047242
15,New,https://www.tiktok.com/maimeo_66,https://www.tiktok.com/maimeo_66/video/6938010259256642818,Gánh Mẹ,,,https://www.tiktok.com/music/Gánh-Mẹ-5000000001382743596,12.1M,0,1.8M,48.5K,15,"Mar 11, 2021",,14,
16,-9,https://www.tiktok.com/alex.cojuhari,https://www.tiktok.com/alex.cojuhari/video/6937718362260720901,Change Ya Life,Haiti Babii,/track?id=22541373,https://www.tiktok.com/music/Change-Ya-Life-6716205383100271366,18.5M,0,3.4M,42.3K,7,"Mar 10, 2021",,14,USUYG1241052
17,-11,https://www.tiktok.com/victorplayer_,https://www.tiktok.com/victorplayer_/video/6937310277000121606,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,49.5M,0,6M,17K,2,"Mar 9, 2021",,63,TCAFB2092742
18,New,https://www.tiktok.com/charlidamelio,https://www.tiktok.com/charlidamelio/video/6938155398235032838,Myaswell follow me like,,,https://www.tiktok.com/music/Myaswell-follow-me-like-213470535551365120,6.6M,0,1.5M,110.7K,18,"Mar 11, 2021",,45,
19,New,https://www.tiktok.com/mcdonaldsukraine,https://www.tiktok.com/mcdonaldsukraine/video/6937962718255156485,парамінус20,,,https://www.tiktok.com/music/парамінус20-6934882273061767170,6M,0,132K,765,19,"Mar 11, 2021",,3,
20,New,https://www.tiktok.com/primapiym,https://www.tiktok.com/primapiym/video/6938041060459367682,Piano Song,Piano,/track?id=25630610,https://www.tiktok.com/music/Piano-Song-6750604224024807425,8.3M,0,1.2M,42.5K,20,"Mar 11, 2021",,37,TCAAW1157869
21,-7,https://www.tiktok.com/alexpresley_,https://www.tiktok.com/alexpresley_/video/6937101423226211590,Among Us Imposter Type Beat,Lil_rebaah,/track?id=31731588,https://www.tiktok.com/music/Among-Us-Imposter-Type-Beat-6876283319546284033,30.4M,0,3.2M,36.6K,7,"Mar 9, 2021",,48,QZK6F2016387
22,New,https://www.tiktok.com/changed_from_elsugarbaby_,https://www.tiktok.com/changed_from_elsugarbaby_/video/6938195017219575046,It's You,Ali Gatie,/track?id=24034382,https://www.tiktok.com/music/It's-You-6702444365375081222,5M,0,657.4K,8.1K,22,"Mar 11, 2021",,37,USWB11901154
23,New,https://www.tiktok.com/mary33m,https://www.tiktok.com/mary33m/video/6938086886388845829,Baby Shark - Dance Remix,Bing Bong,/track?id=20655306,https://www.tiktok.com/music/Baby-Shark-Tik-Tok-Reggaeton-Remix-6805033816600610817,5.4M,0,109.7K,458,23,"Mar 11, 2021",,37,AUND01800638
24,New,https://www.tiktok.com/foodgod,https://www.tiktok.com/foodgod/video/6937954268259421446,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,6M,0,650.3K,2.8K,24,"Mar 11, 2021",,9,TCAFB2092742
25,New,https://www.tiktok.com/shaymitchell,https://www.tiktok.com/shaymitchell/video/6938170489806261510,TOES (feat. Lil Baby & Moneybagg Yo),"DaBaby, Lil Baby, Moneybagg Yo",/track?id=25360349,https://www.tiktok.com/music/TOES-6744861937462512390,4.8M,0,601.5K,3.1K,25,"Mar 11, 2021",,6,USUM71919280
26,New,https://www.tiktok.com/.baby.frogs,https://www.tiktok.com/.baby.frogs/video/6938048455684164869,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"Nathan Evans, 220 KID, Billen Ted",/track?id=32638403,https://www.tiktok.com/music/Wellerman-Sea-Shanty-6920277270705276929,7.1M,0,1.2M,6.9K,26,"Mar 11, 2021",,40,GBUM72100298
27,New,https://www.tiktok.com/i.am.tinkerbell,https://www.tiktok.com/i.am.tinkerbell/video/6937831713024380166,everyone using this sound,,,https://www.tiktok.com/music/everyone-using-this-sound-6931747481009097477,9.7M,0,3.3M,36.5K,27,"Mar 11, 2021",,23,
28,674,https://www.tiktok.com/davidbh555,https://www.tiktok.com/davidbh555/video/6905074872095902981,TIPTOE THRU THE TULIPS CREEPY EDIT by WEREALPACA,,,https://www.tiktok.com/music/TIPTOE-THRU-THE-TULIPS-CREEPY-EDIT-by-WEREALPACA-6713201004080319237,13.3M,0,342.9K,15.8K,28,"Mar 11, 2021",,5,
29,New,https://www.tiktok.com/platicapolinesia,https://www.tiktok.com/platicapolinesia/video/6938164600542088453,Oh No No No,Music Falcon,/track?id=32520032,https://www.tiktok.com/music/Oh-No-No-No-6906242994781833218,4.5M,0,594K,4.5K,29,"Mar 11, 2021",,28,GBRKQ2037925
30,New,https://www.tiktok.com/camelgum,https://www.tiktok.com/camelgum/video/6937792734333865221,Uh Oh Stinky,Merlin,/track?id=37535517,https://www.tiktok.com/music/Uh-Oh-Stinky-6766558526954276866,15.6M,0,2.1M,34.5K,30,"Mar 11, 2021",,16,SE5751953574
31,1,https://www.tiktok.com/jahedahmed5089,https://www.tiktok.com/jahedahmed5089/video/6928076215358164230,Astronaut In The Ocean,Masked Wolf,/track?id=23902934,https://www.tiktok.com/music/Astronaut-In-The-Ocean-6914530565300226049,57.3M,0,3.1M,21.1K,16,"Feb 13, 2021",,72,AUFXV1900105
32,New,https://www.tiktok.com/nailamcdd,https://www.tiktok.com/nailamcdd/video/6937995732477545730,Animal Crossing: New Horizons Main Theme - Lofi Version,Closed on Sunday,/track?id=29374250,https://www.tiktok.com/music/animal-crossing-new-horizons-lofi-6819255107536865281,6.6M,0,639.3K,2.2K,32,"Mar 11, 2021",,2,QZES52093223
33,New,https://www.tiktok.com/thevibechecker2,https://www.tiktok.com/thevibechecker2/video/6938046895285718278,Runaway,AURORA,/track?id=13076462,https://www.tiktok.com/music/Runaway-6604064037363780357,5.2M,0,1.5M,9.9K,33,"Mar 11, 2021",,10,GBUM71500527
34,New,https://www.tiktok.com/karina.munoz4,https://www.tiktok.com/karina.munoz4/video/6935283348990463238,single ladies,,,https://www.tiktok.com/music/single-ladies-6793591691786947330,16.3M,0,1.8M,40K,34,"Mar 11, 2021",,6,
35,New,https://www.tiktok.com/asianmuminlaw,https://www.tiktok.com/asianmuminlaw/video/6937965603126775045,Monkeys Spinning Monkeys,"Kevin MacLeod, Kevin",/track?id=17158836,https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,5.8M,0,1.1M,16.5K,35,"Mar 11, 2021",,5,USUAN1400011
36,New,https://www.tiktok.com/ragilmahardika,https://www.tiktok.com/ragilmahardika/video/6938065521485073670,Sik Asik,Ayu Ting Ting,/track?id=13192967,https://www.tiktok.com/music/Sik-Asik-6703163476614842370,4.6M,0,294.3K,6.4K,36,"Mar 11, 2021",,16,IDA141502420
37,-12,https://www.tiktok.com/xfinds,https://www.tiktok.com/xfinds/video/6937604400777071878,幻昼 - Shirfine - (instrumental),J,/track?id=55903954,https://www.tiktok.com/music/幻昼-Cover-Shirfine-6747961841319676676,12M,0,1.4M,9K,25,"Mar 10, 2021",,16,JPW462106331
38,4,https://www.tiktok.com/rcdrifttok,https://www.tiktok.com/rcdrifttok/video/6936933619801820421,Up Down (Do This All Day),"T-Pain, B.o.B",/track?id=15675733,https://www.tiktok.com/music/Up-Down-Do-This-All-Day-feat-BoB-6476007017088879373,37.7M,0,5.4M,21.6K,1,"Mar 8, 2021",,82,USRC11301140
39,New,https://www.tiktok.com/nailedbydess_,https://www.tiktok.com/nailedbydess_/video/6938107040120245509,Spongebob,Dante9k,/track?id=32023663,https://www.tiktok.com/music/Spongebob-Tomfoolery-Dante9k-Remix-6787142837377959937,3.8M,0,288.1K,10.2K,39,"Mar 11, 2021",,34,QZFYZ2047242
40,-29,https://www.tiktok.com/itsvectorperkins,https://www.tiktok.com/itsvectorperkins/video/6937705055839603974,Weak,Larissa Lambert,/track?id=32609210,https://www.tiktok.com/music/오리지널-사운드-이시영-6930105298665425665,18.3M,0,4.9M,94.1K,11,"Mar 10, 2021",,24,QZFYY2166347
41,-15,https://www.tiktok.com/underconstruction2021,https://www.tiktok.com/underconstruction2021/video/6933967402619227398,Monster,"LUM!X, Gabry Ponte",/track?id=22858728,https://www.tiktok.com/music/Monster-6764388127734761473,120.2M,0,8.1M,104.3K,3,"Mar 1, 2021",-1.57,140,ITV951900009
42,New,https://www.tiktok.com/noflakeysalt,https://www.tiktok.com/noflakeysalt/video/6938088896941034758,I'm Shipping Up to Boston,Shamrocks,/track?id=68050489,https://www.tiktok.com/music/I'm-Shipping-Up-to-Boston-6868154904746133505,3.4M,0,610.3K,3.8K,42,"Mar 11, 2021",,21,QZK6K2027900
43,New,https://www.tiktok.com/tuantran.sun,https://www.tiktok.com/tuantran.sun/video/6938043719731956993,Làm Theo Lời Bố (Bố Già OST),,,https://www.tiktok.com/music/Làm-Theo-Lời-Bố-Bố-Già-OST-6937153029271489281,5.1M,0,381K,552,43,"Mar 11, 2021",,13,
44,New,https://www.tiktok.com/olivier_by,https://www.tiktok.com/olivier_by/video/6937996168672709893,Can We Kiss Forever?,"Kina, Adriana Proenza",/track?id=20497349,https://www.tiktok.com/music/Can-We-Kiss-Forever-6733128484777921281,4.6M,0,274.4K,13.7K,44,"Mar 11, 2021",,20,QMPKX1823521
45,New,https://www.tiktok.com/mariabolio,https://www.tiktok.com/mariabolio/video/6938096495556087046,Monkeys Spinning Monkeys,"Kevin MacLeod, Kevin",/track?id=17158836,https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,4.5M,0,766.4K,2.7K,45,"Mar 11, 2021",,4,USUAN1400011
46,New,https://www.tiktok.com/joshplaysdrums,https://www.tiktok.com/joshplaysdrums/video/6938156608002231558,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,3.3M,0,353.2K,1.4K,46,"Mar 11, 2021",,10,TCAFB2092742
47,New,https://www.tiktok.com/mamasoboliha,https://www.tiktok.com/mamasoboliha/video/6938039566288964865,Bad Liar,Fly By Nightcore,/track?id=26950953,https://www.tiktok.com/music/Bad-Liar-6847735237598775298,3.8M,0,302.7K,242,47,"Mar 11, 2021",,34,QM24S1844107
48,-31,https://www.tiktok.com/funy__house_,https://www.tiktok.com/funy__house_/video/6937289291034807558,In The End - Mellen Gi Remix,"Tommee Profitt, Fleurie, Mellen Gi",/track?id=22642011,https://www.tiktok.com/music/In-The-End-Mellen-Gi-Remix-6752922997683652610,25.6M,0,3.6M,25.2K,4,"Mar 9, 2021",,29,USUG11802944
49,New,https://www.tiktok.com/zamir.music,https://www.tiktok.com/zamir.music/video/6904365964406672641,Dirt,Shahmen,/track?id=23804047,https://www.tiktok.com/music/Dirt-6797641678560692225,10M,0,981,6,49,"Mar 11, 2021",,2,AEA0D1977164
