Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,2,Cardigan (Video Mix),,,,https://www.tiktok.com/music/null,,"May 21, 2020",56,527K,896K,1,"Jun 25, 2022",4,0.29,USAT22003388
2,-1,Running Up That Hill (A Deal With God),S1712,Kate Bush,/track?id=12662506,https://www.tiktok.com/music/Running-Up-That-Hill-A-Deal-With-God-235918692176371712,Parlophone UK,"Aug 20, 2019",28,461K,2M,1,"Jun 11, 2022",16,-0.14,GBCNR8500002
3,-1,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"May 11, 2022",31,381K,1.9M,2,"Jun 11, 2022",46,-0.14,USA3D0700101
4,83,Booty (feat. Latto),,,,https://www.tiktok.com/music/null,,"May 25, 2022",80,373K,460K,4,"Jun 25, 2022",3,11.86,USRC12202102
5,New,Man of my Word,S2139,"Lil Baby, Lil Durk",/track?id=47125654,https://www.tiktok.com/music/original-sound-7086935754085092139,Quality Control Music/Alamo Records/Motown Records,"Jun 1, 2021",111,281K,287K,2,"Jul 2, 2022",10,,USUG12101603
6,15,Aesthetic,S7346,"Tollan Kim, Kudasaibeats",/track?id=75979639,https://www.tiktok.com/music/Aesthetic-7072513628145977346,Tollan Kim,"Mar 7, 2022",62,254K,798K,5,"Jul 9, 2022",48,2.14,SGB502208576
7,2,Jiggle Jiggle,S0294,"Duke & Jones, Louis Theroux",/track?id=82257926,https://www.tiktok.com/music/Jiggle-Jiggle-7075729123557100294,Robots & Humans,"May 11, 2022",22,242K,2.4M,4,"May 28, 2022",18,0.29,GBARL2201151
8,0,So Silly! (G-Mix),S1217,"YungManny, Koto.",/track?id=82435183,https://www.tiktok.com/music/So-Silly-GMix-7095919748038281217,3666217 Records DK2,"May 9, 2022",27,226K,2.1M,8,"May 28, 2022",15,0.00,QZHN92252505
9,-5,Hug Me,S1326,"Pharrell Williams, Trey Parker",/track?id=15611409,https://www.tiktok.com/music/Hug-Me-7101540683290561326,i am OTHER/Columbia,"Aug 16, 2019",35,220K,1.8M,4,"Jun 18, 2022",20,-0.71,USQ4E1702974
10,-5,Dream Cycle,,,,https://www.tiktok.com/music/null,,"May 28, 2022",42,206K,1.5M,3,"Jun 11, 2022",9,-0.71,QZ8252214947
